"Color[Color]"
"1.000000,1.000000,1.000000,1.000000"
"1.000000,0.000000,0.000000,1.000000"
"0.000000,1.000000,0.000000,1.000000"
"0.000000,0.000000,1.000000,1.000000"
"1.000000,1.000000,0.000000,1.000000"
"0.000000,1.000000,1.000000,1.000000"
"1.000000,0.000000,1.000000,1.000000"
"1.000000,0.500000,0.000000,1.000000"
"1.000000,0.000000,0.500000,1.000000"
"0.386000,0.000000,0.136326,1.000000"
"1.000000,0.478833,0.258000,1.000000"
"1.000000,0.218000,0.444532,1.000000"
"0.274000,0.038056,0.000000,1.000000"
"0.000000,0.061722,0.202000,1.000000"
"0.000000,0.514000,0.038754,1.000000"
"0.492500,1.000000,0.130000,1.000000"
